ตารางจำนวนผู้โดยสารและเที่ยวเรือโดยสาร เรือคลองแสนแสบ  ปี 2548 – 2557,,,
ปี,จำนวนผู้โดยสารต่อปี (คน),จำนวนเที่ยวเรือโดยสาร (เที่ยว),
2548,"16,659,226","132,506",
2549,"17,177,101","133,508",
2550,"17,700,845","141,394",
2551,"17,439,575","145,259",
2552,"19,874,528","135,158",
2553,"20,950,584","136,229",
2554,"18,959,322","132,147",
2555,"17,173,900","126,867",
2556,"17,272,179","124,409",
2557,"17,036,096","127,881",
2558,"18,485,944","124,728",
